"Row-names","Symbol","LB-Bile___log2FoldChange","LB-Bile___padj","data","LB_Rep1","LB_Rep2","Bile_Rep1","Bile_Rep2"
"VP1431",NA,-0.196778854592956,0.93461503101091," ",8.23937124495905,8.36039167251373,8.28508635106647,8.654475328616
"VP1432",NA,-0.276506738464179,0.911552947277044," ",7.7592612439031,8.16551866847327,8.00635577961032,8.41847597874724
"VP1434",NA,0.603136572184771,0.416761994100416," ",9.09576605227655,9.38861961351995,8.42310239797876,8.82457906026185
"VP1435",NA,-0.612420910991022,0.548710763619607," ",6.37660665997949,6.75236456072386,6.95467523047339,7.28328312050548
"VP1436",NA,0.258329598376421,0.884043979040614," ",11.5668338938796,11.8931094255951,11.3604346223593,11.5891583775731
"VP1437",NA,-0.554383507795329,0.884043979040614," ",4.57122496516079,5.3836891873866,4.78064164433759,5.84277177047416
"VP1438",NA,-0.38872584944056,0.688896424101272," ",12.5362969449449,12.8909172745684,13.1666304525658,13.0566353596109
"VP1439",NA,-0.448923852708763,0.457179180462642," ",14.1410559970818,14.1001138081506,14.5239395637257,14.613728355731
"VP1440",NA,-0.137240273249808,0.940090422294281," ",12.5681849416548,12.6337590314278,12.7245264250632,12.751954910278
"VP1441",NA,-0.246280785157138,0.8924539197195," ",10.9168022596536,10.9853983683217,11.3803433438378,10.991768093086
"VP1442",NA,-0.11796068662894,0.953309967520926," ",9.60951564416439,9.45995284433618,9.59587143949092,9.70995353496865
"VP1443",NA,-0.226062947091374,0.930370008931507," ",9.3062668315568,9.85932402027137,9.76550838758657,9.88760822876494
"VP1444",NA,-0.68731264229748,0.0974218634423152," ",11.3435428635273,11.2730431099953,11.9777120845718,12.012788136594
"VP1445",NA,-0.150084663341475,0.940414319362422," ",10.3479969106466,10.4846426265837,10.440550118061,10.6784905788679
"VP1446",NA,-0.135718674544718,0.950513723285554," ",11.897565867554,12.1733286183446,12.0145755352032,12.3215710633083
"VP1447",NA,0.384553086332589,0.599178245305147," ",13.5827817176147,13.587142569933,13.1837254842629,13.2170595752604
"VP1448",NA,0.190528432425736,0.927240891698257," ",11.7436102534379,11.8945405861513,11.7463512787586,11.506506803415
"VP1449",NA,0.132702737934335,0.947486741358109," ",11.8532523915595,12.0580046375133,11.9389233716122,11.7058443600801
"VP1450",NA,0.266130584215933,0.933640709427668," ",10.6658176249382,11.6697763440378,10.7600201366329,11.1793655755296
"VP1451",NA,0.154469272212375,0.957529424013612," ",9.46213488172448,10.3025794350621,9.45277806799602,10.0484619077969
"VP1452",NA,-0.0372158894613393,0.98173474305573," ",10.8783518174603,11.0484701999066,10.9278853737259,11.0708192817512
"VP1453",NA,-0.577203145984573,0.450979776379037," ",15.0219477869688,14.4513851994229,15.3619559289734,15.3217341126135
"VP1454",NA,0.850499629976866,0.124101583173125," ",15.157079339293,14.5815869909775,14.1485982669559,13.9393118071889
